strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.05,1.04,1.06,206.6,128.7,0.2727,619.3,25,9,8
A/Bhutan/0845/2023,1.07,1.07,1.08,151.4,85.07,0.4909,493.3,23,10,8
A/Busan/1301/2023,0.91,0.89,0.93,244,155.3,0.1429,798.3,11,3,3
A/Catalonia/2041146NS/2023,0.97,0.96,0.98,173.5,100.3,0.4,613.2,14,6,5
A/Finland/391/2023,0.92,0.91,0.92,228,143.4,0.1964,628,11,6,6
A/Georgia/40/2023,1.09,1.08,1.11,166.6,108.8,0.4364,477.5,21,9,8
A/Jeju/1047/2023,0.89,0.87,0.9,208.1,129.8,0.2143,695.8,11,3,3
A/Ontario/RV00796/2023,1.15,1.14,1.16,174.5,104.2,0.4286,610.8,24,10,9
A/SENDAI/45/2023,0.91,0.9,0.92,197.6,138.9,0.1964,560.4,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.07,160.4,96.86,0.4464,524.2,26,10,9
A/Schleswig-Holstein/4/2023,0.91,0.9,0.92,204,144.3,0.2143,650.7,14,5,5
A/SouthDakota/22/2023,0.87,0.84,0.9,157.1,101.7,0.4,465.8,12,4,4
A/Sydney/332/2023,1,1,1.01,204.5,130.4,0.3091,600.1,21,9,8
A/TECPAN/017FLU/2023,0.94,0.93,0.95,155.5,98.06,0.4,531.4,12,5,4
A/Massachusetts/18/2022,1,1,1,193.4,126.3,0.3929,553.4,20,8,7
